station,modality,filename,date,nan_frac,path
AmeriFlux_CA-Cbo,S2L2A,20180420.tif,20180420,0.7117346938775511,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_CA-Cbo/S2L2A/20180420.tif
AmeriFlux_CA-Cbo,S2L2A,20180430.tif,20180430,0.7081473214285714,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_CA-Cbo/S2L2A/20180430.tif
AmeriFlux_CA-Cbo,S2L2A,20180520.tif,20180520,0.633171237244898,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_CA-Cbo/S2L2A/20180520.tif
AmeriFlux_CA-Cbo,S2L2A,20180704.tif,20180704,0.5056401466836735,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_CA-Cbo/S2L2A/20180704.tif
AmeriFlux_CA-Cbo,S2L2A,20180709.tif,20180709,0.5374083227040817,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_CA-Cbo/S2L2A/20180709.tif
AmeriFlux_CA-Cbo,S2L2A,20180719.tif,20180719,0.6105707908163265,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_CA-Cbo/S2L2A/20180719.tif
AmeriFlux_CA-Cbo,S2L2A,20180818.tif,20180818,0.7574139030612245,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_CA-Cbo/S2L2A/20180818.tif
AmeriFlux_CA-Cbo,S2L2A,20180828.tif,20180828,0.8451849489795918,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_CA-Cbo/S2L2A/20180828.tif
AmeriFlux_CA-Cbo,S2L2A,20180907.tif,20180907,0.9151586415816326,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_CA-Cbo/S2L2A/20180907.tif
AmeriFlux_CA-Cbo,S2L2A,20180912.tif,20180912,0.5034877232142857,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_CA-Cbo/S2L2A/20180912.tif
AmeriFlux_CA-Cbo,S2L2A,20180917.tif,20180917,0.9843949298469388,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_CA-Cbo/S2L2A/20180917.tif
AmeriFlux_CA-Cbo,S2L2A,20181012.tif,20181012,0.5697943239795918,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_CA-Cbo/S2L2A/20181012.tif
AmeriFlux_CA-Cbo,S2L2A,20181017.tif,20181017,0.6584024234693877,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_CA-Cbo/S2L2A/20181017.tif
AmeriFlux_CA-Cbo,S2L2A,20181022.tif,20181022,0.6346261160714286,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_CA-Cbo/S2L2A/20181022.tif
AmeriFlux_CA-Cbo,S2L2A,20181111.tif,20181111,0.8081154336734694,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_CA-Cbo/S2L2A/20181111.tif
AmeriFlux_CA-Cbo,S2L2A,20181121.tif,20181121,0.7452168367346939,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_CA-Cbo/S2L2A/20181121.tif
AmeriFlux_CA-Cbo,S2L2A,20181216.tif,20181216,0.5598692602040817,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_CA-Cbo/S2L2A/20181216.tif
AmeriFlux_CA-Cbo,S2L2A,20190425.tif,20190425,0.5055803571428571,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_CA-Cbo/S2L2A/20190425.tif
AmeriFlux_CA-Cbo,S2L2A,20190430.tif,20190430,0.6923628826530612,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_CA-Cbo/S2L2A/20190430.tif
AmeriFlux_CA-Cbo,S2L2A,20190530.tif,20190530,0.6677295918367347,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_CA-Cbo/S2L2A/20190530.tif
AmeriFlux_CA-Cbo,S2L2A,20190629.tif,20190629,0.6784917091836735,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_CA-Cbo/S2L2A/20190629.tif
AmeriFlux_CA-Cbo,S2L2A,20190704.tif,20190704,0.6274314413265306,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_CA-Cbo/S2L2A/20190704.tif
