region_id,n_stations,height,width,n_valid,res_m,cond_sinks_raw,cond_flats_raw,cond_sinks_after_breach,cond_sinks_final,cond_flats_final,cond_filled,cond_carved_max_m,cond_raised_max_m,cond_touched_frac,hand_raw_min,hand_raw_neg_frac,slope_floor_frac,stream_frac,stream_ha,t2_hand_min,t2_hand_neg_frac,t2_hand_max_on_streams,t2_a_min_m,t2_sinks_final,t2_flats_final,t2_mass_outlet_sum,t2_mass_n_valid,t2_mass_ok,twi_mean,twi_sd,hand_mean,hand_sd,status,n_edge_truncated,seconds,t_condition,t_acc_mfd,t_d8_network,t_slope_twi,t_hand,t_stations
4,19,6306,5620,35439720,30.0,133986,76750,0,0,2,False,79.302978515625,76.541015625,0.01098651456614217,-41.72900390625,0.0015205819910541053,0.002502813227644011,0.10024458432515833,10.0,0.0,0.0,0.0,30.0,0,2,35439720.0,35439720.0,True,8.017189979553223,2.42256498336792,45.9488525390625,63.67659378051758,done,0,246.05217623710632,21.24,12.97,25.16,1.2,158.42,26.26
3,33,5981,4344,25981464,30.0,141512,855705,0,0,1,False,258.56298828125,869.8258056640625,0.056658777965706626,-150.305419921875,0.0047258306922196534,0.03248161843381882,0.11611170178862901,10.0,0.0,0.0,0.0,30.0,0,1,25981464.0,25981464.0,True,7.971418380737305,2.717466115951538,61.12981414794922,83.32527160644531,done,0,303.7169101238251,133.92,10.04,17.14,0.87,118.29,22.91
6,17,5745,4383,25180335,30.0,530841,114280,0,0,0,False,26.63079833984375,18.02423095703125,0.05246316222560184,-12.180511474609375,0.01648711186725673,0.009524853422323412,0.07863414049098234,10.0,0.0,0.0,0.0,30.0,0,0,25180335.0,25180335.0,True,9.36882495880127,2.23038911819458,3.6956393718719482,4.151125907897949,done,0,181.22568702697754,21.33,10.27,16.16,0.86,112.65,19.42
12,10,3449,6520,22487480,30.0,67020,64416,0,0,0,False,148.859375,273.178466796875,0.009632915738001768,-110.210205078125,0.0012488282368678038,0.002385149425369139,0.08311842856558405,10.0,0.0,0.0,0.0,30.0,0,0,22487480.0,22487480.0,True,7.420726776123047,2.1084864139556885,82.79136657714844,98.65875244140625,done,0,156.54339385032654,14.98,8.52,14.43,0.75,102.99,14.35
1,40,11534,5551,64025234,30.0,196985,268541,0,0,3,False,125.739990234375,171.498779296875,0.013513015821230736,-83.066162109375,0.0017205091355074157,0.003894558198725209,0.09343725319301449,10.0,0.0,0.0,0.0,30.0,0,3,64025234.0,64025234.0,True,7.746994972229004,2.2915139198303223,66.21309661865234,88.45970916748047,done,0,478.2794358730316,52.84,22.47,47.94,2.11,288.35,63.2
13,10,3659,6008,21983272,30.0,57771,30439,0,0,0,False,241.619140625,474.383544921875,0.03695055040032257,-129.357666015625,0.002429620122063722,0.0014531048881167461,0.09898763023084098,10.0,0.0,0.0,0.0,30.0,0,0,21983272.0,21983272.0,True,7.222854137420654,2.399610757827759,90.23235321044922,100.74144744873047,done,0,147.27097868919373,11.03,9.35,14.71,0.76,97.06,13.93
24,7,4404,4680,20610720,30.0,335600,63523,0,0,1,False,60.44874572753906,55.26017761230469,0.05531635964197272,-21.1094970703125,0.01565287384429074,0.0031808689846836986,0.07122274233990855,10.0,0.0,0.0,0.0,30.0,0,1,20610720.0,20610720.0,True,8.625344276428223,2.19986891746521,11.155832290649414,14.469447135925293,done,0,138.75672698020935,8.28,8.21,13.17,0.7,95.05,12.78
0,146,18721,14005,262187605,30.0,2151298,7083580,0,0,17,False,399.6334228515625,623.181884765625,0.13538945138157846,-225.7628173828125,0.013146128704291722,0.030395594025125636,0.1352853274661859,10.0,0.0,0.0,0.0,30.0,0,17,262187605.0,262187605.0,True,8.65919303894043,2.952554225921631,35.694149017333984,59.483367919921875,done,0,3233.3221764564514,1160.07,89.48,217.41,8.7,1192.28,560.02
