station,category,split,start_date,end_date,status,flags,has_s2,has_s1_asc,has_s1_desc,has_cm,has_dem,has_lulc,has_soil,has_era5,has_sif,has_twsa,has_labels_sm,has_labels_le,n_s2_dates,n_cm_dates,n_s2_missing_cm,cm_coverage_pct,s2_missing_years,s1_asc_missing_years,s1_desc_missing_years,cm_missing_years,satellite_missing_years,era5_missing_years,labels_sm_missing_years,labels_le_missing_years,sif_missing_years,twsa_missing_years,has_raw_satzarr,n_s2_raw,s2_token_minus_raw,s2_raw_minus_token,n_s1_asc_raw,s1_asc_token_minus_raw,s1_asc_raw_minus_token,n_s1_desc_raw,s1_desc_token_minus_raw,s1_desc_raw_minus_token,has_raw_dem,has_raw_lulc,dem_nan,lulc_nan,soil_nan_pct,era5_nan,sif_nan,twsa_nan,labels_sm_nan,labels_le_nan_frac,sm_continuous_years,le_continuous_years,lt_3yr_labels
ISMN_SCAN_Mason#1,sm_only,oos,20170213,20250321,OK,"INFO_s1_desc_missing_years(2018,2019,2020,2021,2022,2023,2024,2025)|INFO_sif_missing_years(2017)|INFO_twsa_missing_years(2025)",True,True,True,True,True,True,True,True,True,True,True,False,430,430,0,100.0,,,"2018,2019,2020,2021,2022,2023,2024,2025",,,,,,2017,2025,True,430,0,0,229.0,0.0,0.0,2.0,0.0,0.0,True,True,False,False,0.0,False,False,False,False,,9.0,,False
ISMN_SCAN_Mayday,sm_only,train,20201108,20240530,OK,,True,True,False,True,True,True,True,True,True,True,True,False,86,86,0,100.0,,,,,,,,,,,True,86,0,0,87.0,0.0,0.0,,,,True,True,False,False,0.0,False,False,False,False,,5.0,,False
ISMN_SCAN_McAllisterFarm,sm_only,oos,20160101,20251230,OK,"INFO_s1_desc_missing_years(2016,2018,2019,2021,2022,2023,2024,2025)|INFO_sif_missing_years(2016,2017)|INFO_twsa_missing_years(2025)",True,True,True,True,True,True,True,True,True,True,True,False,252,252,0,100.0,,,"2016,2018,2019,2021,2022,2023,2024,2025",,,,,,"2016,2017",2025,True,252,0,0,245.0,0.0,0.0,2.0,0.0,0.0,True,True,False,False,0.0,False,False,False,False,,10.0,,False
ISMN_SCAN_MccrackenMesa,sm_only,train,20160101,20250321,OK,"INFO_s1_desc_missing_years(2016)|INFO_sif_missing_years(2016,2017)|INFO_twsa_missing_years(2025)",True,True,True,True,True,True,True,True,True,True,True,False,354,354,0,100.0,,,2016,,,,,,"2016,2017",2025,True,354,0,0,341.0,0.0,0.0,236.0,0.0,0.0,True,True,False,False,0.0,False,False,False,False,,10.0,,False
ISMN_SCAN_Milford,sm_only,oos,20160101,20250907,OK,"INFO_s1_asc_missing_years(2022,2023,2024)|INFO_s1_desc_missing_years(2016)|INFO_sif_missing_years(2016,2017)|INFO_twsa_missing_years(2025)",True,True,True,True,True,True,True,True,True,True,True,False,776,776,0,100.0,,"2022,2023,2024",2016,,,,,,"2016,2017",2025,True,776,0,0,240.0,0.0,0.0,249.0,0.0,0.0,True,True,False,False,0.0,False,False,False,False,,10.0,,False
ISMN_SCAN_Moccasin,sm_only,train,20160101,20250321,OK,"INFO_s1_asc_missing_years(2022,2023,2024,2025)|INFO_s1_desc_missing_years(2016)|INFO_sif_missing_years(2016,2017)|INFO_twsa_missing_years(2025)",True,True,True,True,True,True,True,True,True,True,True,False,473,473,0,100.0,,"2022,2023,2024,2025",2016,,,,,,"2016,2017",2025,True,473,0,0,136.0,0.0,0.0,449.0,0.0,0.0,True,True,False,False,0.0,False,False,False,False,,10.0,,False
ISMN_SCAN_MonoclineRidge,sm_only,train,20160101,20211101,OK,"INFO_no_twsa|INFO_sif_missing_years(2016,2017)|INFO_soil_nan_pct(2.1%)",True,True,True,True,True,True,True,True,True,False,True,False,478,478,0,100.0,,,,,,,,,"2016,2017",,True,478,0,0,250.0,0.0,0.0,440.0,0.0,0.0,True,True,False,False,0.0215,False,False,False,False,,6.0,,False
ISMN_SCAN_Morgan,sm_only,train,20160101,20251230,OK,"INFO_s1_asc_missing_years(2022,2023,2024)|INFO_s1_desc_missing_years(2016)|INFO_sif_missing_years(2016,2017)|INFO_twsa_missing_years(2025)",True,True,True,True,True,True,True,True,True,True,True,False,660,660,0,100.0,,"2022,2023,2024",2016,,,,,,"2016,2017",2025,True,660,0,0,297.0,0.0,0.0,257.0,0.0,0.0,True,True,False,False,0.0,False,False,False,False,,10.0,,False
ISMN_SCAN_MorrisFarms,sm_only,oos,20160823,20200416,OK,"INFO_s1_desc_missing_years(2018,2019,2020)|INFO_sif_missing_years(2016,2017)",True,True,True,True,True,True,True,True,True,True,True,False,90,90,0,100.0,,,"2018,2019,2020",,,,,,"2016,2017",,True,90,0,0,88.0,0.0,0.0,3.0,0.0,0.0,True,True,False,False,0.0,False,False,False,False,,5.0,,False
ISMN_SCAN_MountainHome,sm_only,train,20160101,20241122,OK,"INFO_s1_asc_missing_years(2022,2023,2024)|INFO_s1_desc_missing_years(2016)|INFO_sif_missing_years(2016,2017)",True,True,True,True,True,True,True,True,True,True,True,False,335,335,0,100.0,,"2022,2023,2024",2016,,,,,,"2016,2017",,True,335,0,0,118.0,0.0,0.0,203.0,0.0,0.0,True,True,False,False,0.0,False,False,False,False,,9.0,,False
ISMN_SCAN_MtVernon,sm_only,oos,20160921,20201126,OK,"INFO_no_twsa|INFO_s1_desc_missing_years(2016,2017,2018,2019)|INFO_sif_missing_years(2016,2017)",True,True,True,True,True,True,True,True,True,False,True,False,86,86,0,100.0,,,"2016,2017,2018,2019",,,,,,"2016,2017",,True,86,0,0,124.0,0.0,0.0,1.0,0.0,0.0,True,True,False,False,0.0,False,False,False,False,,5.0,,False
ISMN_SCAN_NPiedmontArec,sm_only,oos,20160101,20251230,OK,"INFO_s1_desc_missing_years(2016,2017,2020,2021,2022,2023,2024,2025)|INFO_sif_missing_years(2016,2017)|INFO_twsa_missing_years(2025)",True,True,True,True,True,True,True,True,True,True,True,False,256,256,0,100.0,,,"2016,2017,2020,2021,2022,2023,2024,2025",,,,,,"2016,2017",2025,True,256,0,0,521.0,0.0,0.0,2.0,0.0,0.0,True,True,False,False,0.0,False,False,False,False,,10.0,,False
ISMN_SCAN_Nacogdoches,sm_only,oos,20180427,20220709,OK,"INFO_no_twsa|INFO_s1_desc_missing_years(2018,2019,2021,2022)|INFO_soil_nan_pct(4.1%)",True,True,True,True,True,True,True,True,True,False,True,False,237,237,0,100.0,,,"2018,2019,2021,2022",,,,,,,,True,237,0,0,112.0,0.0,0.0,2.0,0.0,0.0,True,True,False,False,0.0409,False,False,False,False,,5.0,,False
ISMN_SCAN_Nephi,sm_only,val,20160101,20250321,OK,"INFO_no_twsa|INFO_s1_asc_missing_years(2022,2023,2024,2025)|INFO_s1_desc_missing_years(2016)|INFO_sif_missing_years(2016,2017)",True,True,True,True,True,True,True,True,True,False,True,False,300,300,0,100.0,,"2022,2023,2024,2025",2016,,,,,,"2016,2017",,True,300,0,0,253.0,0.0,0.0,235.0,0.0,0.0,True,True,False,False,0.0,False,False,False,False,,10.0,,False
ISMN_SCAN_NorthIssaquena,sm_only,train,20160101,20210503,OK,"INFO_no_twsa|INFO_s1_desc_missing_years(2018,2019,2021)|INFO_sif_missing_years(2016,2017)",True,True,True,True,True,True,True,True,True,False,True,False,119,119,0,100.0,,,"2018,2019,2021",,,,,,"2016,2017",,True,119,0,0,137.0,0.0,0.0,7.0,0.0,0.0,True,True,False,False,0.0,False,False,False,False,,6.0,,False
ISMN_SCAN_Nunn#1,sm_only,train,20220107,20251230,OK,INFO_no_twsa,True,True,True,True,True,True,True,True,True,False,True,False,326,326,0,100.0,,,,,,,,,,,True,326,0,0,109.0,0.0,0.0,227.0,0.0,0.0,True,True,False,False,0.0,False,False,False,False,,4.0,,False
ISMN_SCAN_Onward,sm_only,train,20160101,20251230,OK,"INFO_s1_desc_missing_years(2018,2019,2021,2022,2023,2024,2025)|INFO_sif_missing_years(2016,2017)|INFO_twsa_missing_years(2025)",True,True,True,True,True,True,True,True,True,True,True,False,272,272,0,100.0,,,"2018,2019,2021,2022,2023,2024,2025",,,,,,"2016,2017",2025,True,272,0,0,250.0,0.0,0.0,6.0,0.0,0.0,True,True,False,False,0.0,False,False,False,False,,10.0,,False
ISMN_SCAN_OrchardRangeSite,sm_only,train,20210512,20251230,OK,INFO_twsa_missing_years(2025),True,True,True,True,True,True,True,True,True,True,True,False,376,376,0,100.0,,,,,,,,,,2025,True,376,0,0,208.0,0.0,0.0,154.0,0.0,0.0,True,True,False,False,0.0,False,False,False,False,,5.0,,False
ISMN_SCAN_Panguitch,sm_only,train,20160101,20220529,OK,INFO_no_sif|INFO_s1_asc_missing_years(2022)|INFO_s1_desc_missing_years(2016),True,True,True,True,True,True,True,True,False,True,True,False,221,221,0,100.0,,2022,2016,,,,,,,,True,221,0,0,134.0,0.0,0.0,158.0,0.0,0.0,True,True,False,False,0.0,False,False,False,False,,7.0,,False
ISMN_SCAN_ParkValley,sm_only,train,20160101,20220717,OK,"INFO_s1_asc_missing_years(2022)|INFO_s1_desc_missing_years(2016)|INFO_sif_missing_years(2016,2017)",True,True,True,True,True,True,True,True,True,True,True,False,189,189,0,100.0,,2022,2016,,,,,,"2016,2017",,True,189,0,0,134.0,0.0,0.0,186.0,0.0,0.0,True,True,False,False,0.0,False,False,False,False,,7.0,,False
ISMN_SCAN_PeeDee,sm_only,val,20190221,20251230,OK,"INFO_s1_desc_missing_years(2021,2023,2024,2025)|INFO_twsa_missing_years(2025)|INFO_soil_nan_pct(5.0%)",True,True,True,True,True,True,True,True,True,True,True,False,237,237,0,100.0,,,"2021,2023,2024,2025",,,,,,,2025,True,237,0,0,389.0,0.0,0.0,6.0,0.0,0.0,True,True,False,False,0.0499,False,False,False,False,,7.0,,False
