station,split,year,s2,s1
ISMN_SCAN_IsbellFarms,train,2023,33,56
ISMN_SCAN_IsbellFarms,train,2024,17,23
ISMN_SCAN_JohnsonFarm,oos,2020,36,22
ISMN_SCAN_JohnsonFarm,oos,2021,84,58
ISMN_SCAN_JohnsonFarm,oos,2022,90,86
ISMN_SCAN_JohnsonFarm,oos,2023,79,83
ISMN_SCAN_JohnsonFarm,oos,2024,93,79
ISMN_SCAN_JohnsonFarm,oos,2025,89,109
ISMN_SCAN_Jordan,train,2016,13,7
ISMN_SCAN_Jordan,train,2017,18,94
ISMN_SCAN_Jordan,train,2018,61,94
ISMN_SCAN_Jordan,train,2019,67,95
ISMN_SCAN_Jordan,train,2020,63,112
ISMN_SCAN_Jordan,train,2021,56,118
ISMN_SCAN_Jordan,train,2022,62,58
ISMN_SCAN_Jordan,train,2023,71,56
ISMN_SCAN_Jordan,train,2024,65,53
ISMN_SCAN_Jordan,train,2025,55,93
ISMN_SCAN_JornadaExpRange,train,2016,24,3
ISMN_SCAN_JornadaExpRange,train,2017,44,78
ISMN_SCAN_JornadaExpRange,train,2018,107,89
ISMN_SCAN_JornadaExpRange,train,2019,104,90
ISMN_SCAN_JornadaExpRange,train,2020,77,57
ISMN_SCAN_JournaganRanch,train,2016,3,30
ISMN_SCAN_JournaganRanch,train,2017,10,57
ISMN_SCAN_JournaganRanch,train,2018,26,58
ISMN_SCAN_JournaganRanch,train,2019,28,57
ISMN_SCAN_JournaganRanch,train,2020,5,14
ISMN_SCAN_Kainaliu,oos,2016,9,60
ISMN_SCAN_Kainaliu,oos,2017,5,77
ISMN_SCAN_Kainaliu,oos,2018,21,99
ISMN_SCAN_Kainaliu,oos,2019,21,116
ISMN_SCAN_Kainaliu,oos,2020,18,115
ISMN_SCAN_Kainaliu,oos,2021,4,27
ISMN_SCAN_KemoleGulch,train,2016,23,43
ISMN_SCAN_KemoleGulch,train,2017,31,30
ISMN_SCAN_KemoleGulch,train,2018,51,61
ISMN_SCAN_KemoleGulch,train,2019,52,116
ISMN_SCAN_KemoleGulch,train,2020,71,110
ISMN_SCAN_KnoxCity,train,2016,6,36
ISMN_SCAN_KnoxCity,train,2017,18,26
ISMN_SCAN_KnoxCity,train,2018,24,9
ISMN_SCAN_KoptisFarms,train,2017,22,10
ISMN_SCAN_KoptisFarms,train,2018,42,30
ISMN_SCAN_KoptisFarms,train,2019,62,30
ISMN_SCAN_KoptisFarms,train,2020,58,33
ISMN_SCAN_KoptisFarms,train,2021,60,28
ISMN_SCAN_KoptisFarms,train,2022,56,29
ISMN_SCAN_KoptisFarms,train,2023,21,11
ISMN_SCAN_Kukuihaele,train,2016,9,60
ISMN_SCAN_Kukuihaele,train,2017,29,77
ISMN_SCAN_Kukuihaele,train,2018,26,100
ISMN_SCAN_Kukuihaele,train,2019,49,116
ISMN_SCAN_Kukuihaele,train,2020,39,88
ISMN_SCAN_KyleCanyon,oos,2016,31,5
ISMN_SCAN_KyleCanyon,oos,2017,48,45
ISMN_SCAN_KyleCanyon,oos,2018,91,58
ISMN_SCAN_KyleCanyon,oos,2019,86,68
ISMN_SCAN_KyleCanyon,oos,2020,111,90
ISMN_SCAN_KyleCanyon,oos,2021,86,90
ISMN_SCAN_KyleCanyon,oos,2022,103,29
ISMN_SCAN_KyleCanyon,oos,2023,86,27
ISMN_SCAN_KyleCanyon,oos,2024,85,27
ISMN_SCAN_KyleCanyon,oos,2025,109,74
ISMN_SCAN_LTSP,train,2021,0,1
ISMN_SCAN_LTSP,train,2022,35,22
ISMN_SCAN_LTSP,train,2023,28,19
ISMN_SCAN_LTSP,train,2024,32,22
ISMN_SCAN_LTSP,train,2025,43,23
ISMN_SCAN_Lehman,train,2016,14,2
ISMN_SCAN_Lehman,train,2017,21,45
ISMN_SCAN_Lehman,train,2018,37,53
ISMN_SCAN_Lehman,train,2019,39,44
ISMN_SCAN_Lehman,train,2020,30,40
ISMN_SCAN_Levelland,train,2016,6,2
ISMN_SCAN_Levelland,train,2017,22,45
ISMN_SCAN_Levelland,train,2018,37,53
ISMN_SCAN_Levelland,train,2019,45,44
ISMN_SCAN_Levelland,train,2020,52,59
ISMN_SCAN_Levelland,train,2021,19,26
ISMN_SCAN_Lind#1,train,2016,11,3
ISMN_SCAN_Lind#1,train,2017,19,44
ISMN_SCAN_Lind#1,train,2018,31,59
ISMN_SCAN_Lind#1,train,2019,32,59
ISMN_SCAN_Lind#1,train,2020,34,61
ISMN_SCAN_Lind#1,train,2021,27,58
ISMN_SCAN_Lind#1,train,2022,30,0
ISMN_SCAN_Lind#1,train,2023,28,0
ISMN_SCAN_Lind#1,train,2024,30,0
ISMN_SCAN_Lind#1,train,2025,38,21
ISMN_SCAN_LittleRedFox,oos,2016,10,2
ISMN_SCAN_LittleRedFox,oos,2017,15,51
ISMN_SCAN_LittleRedFox,oos,2018,49,30
ISMN_SCAN_LittleRedFox,oos,2019,47,37
ISMN_SCAN_LittleRedFox,oos,2020,49,59
ISMN_SCAN_LittleRedFox,oos,2021,44,56
ISMN_SCAN_LittleRedFox,oos,2022,48,29
ISMN_SCAN_LittleRedFox,oos,2023,44,29
ISMN_SCAN_LittleRedFox,oos,2024,40,27
ISMN_SCAN_LittleRedFox,oos,2025,52,51
ISMN_SCAN_LittleRiver,train,2016,6,18
ISMN_SCAN_LittleRiver,train,2017,8,25
ISMN_SCAN_LittleRiver,train,2018,29,29
ISMN_SCAN_LittleRiver,train,2019,30,29
ISMN_SCAN_LittleRiver,train,2020,26,31
ISMN_SCAN_LittleRiver,train,2021,9,7
ISMN_SCAN_LosLunasPMC,oos,2016,25,3
ISMN_SCAN_LosLunasPMC,oos,2017,48,53
ISMN_SCAN_LosLunasPMC,oos,2018,61,60
ISMN_SCAN_LosLunasPMC,oos,2019,65,60
ISMN_SCAN_LosLunasPMC,oos,2020,60,59
ISMN_SCAN_LosLunasPMC,oos,2021,61,59
ISMN_SCAN_LosLunasPMC,oos,2022,62,28
ISMN_SCAN_LosLunasPMC,oos,2023,7,3
ISMN_SCAN_LovellSummit,train,2016,27,5
ISMN_SCAN_LovellSummit,train,2017,44,45
ISMN_SCAN_LovellSummit,train,2018,86,58
ISMN_SCAN_LovellSummit,train,2019,77,68
ISMN_SCAN_LovellSummit,train,2020,104,90
ISMN_SCAN_LovellSummit,train,2021,86,90
ISMN_SCAN_LovellSummit,train,2022,90,29
ISMN_SCAN_LovellSummit,train,2023,72,27
ISMN_SCAN_LovellSummit,train,2024,68,27
ISMN_SCAN_LovellSummit,train,2025,86,74
ISMN_SCAN_LovelockNNR,train,2016,9,5
ISMN_SCAN_LovelockNNR,train,2017,22,57
ISMN_SCAN_LovelockNNR,train,2018,46,51
ISMN_SCAN_LovelockNNR,train,2019,38,78
ISMN_SCAN_LovelockNNR,train,2020,31,60
ISMN_SCAN_LyeBrook,train,2018,5,12
ISMN_SCAN_LyeBrook,train,2019,44,59
ISMN_SCAN_LyeBrook,train,2020,37,55
ISMN_SCAN_LyeBrook,train,2021,33,53
ISMN_SCAN_LyeBrook,train,2022,34,77
ISMN_SCAN_LyeBrook,train,2023,34,59
ISMN_SCAN_LyeBrook,train,2024,39,56
ISMN_SCAN_LyeBrook,train,2025,37,73
ISMN_SCAN_MahantangoCk,train,2016,17,20
ISMN_SCAN_MahantangoCk,train,2017,25,58
ISMN_SCAN_MahantangoCk,train,2018,30,40
ISMN_SCAN_MammothCave,train,2016,4,37
ISMN_SCAN_MammothCave,train,2017,11,44
ISMN_SCAN_MammothCave,train,2018,22,48
ISMN_SCAN_MammothCave,train,2019,23,57
ISMN_SCAN_MammothCave,train,2020,12,33
ISMN_SCAN_ManaHouse,oos,2020,5,5
ISMN_SCAN_ManaHouse,oos,2021,47,110
ISMN_SCAN_ManaHouse,oos,2022,55,60
ISMN_SCAN_ManaHouse,oos,2023,61,55
ISMN_SCAN_ManaHouse,oos,2024,50,48
ISMN_SCAN_ManaHouse,oos,2025,53,89
ISMN_SCAN_Mandan#1,train,2016,4,44
ISMN_SCAN_Mandan#1,train,2017,9,51
ISMN_SCAN_Mandan#1,train,2018,28,54
ISMN_SCAN_Mandan#1,train,2019,26,56
ISMN_SCAN_Mandan#1,train,2020,34,53
ISMN_SCAN_Mandan#1,train,2021,32,57
ISMN_SCAN_Mandan#1,train,2022,36,74
ISMN_SCAN_Mandan#1,train,2023,35,85
ISMN_SCAN_Mandan#1,train,2024,32,79
ISMN_SCAN_Mandan#1,train,2025,38,105
ISMN_SCAN_Manderfield,train,2017,36,35
ISMN_SCAN_Manderfield,train,2018,87,47
ISMN_SCAN_Manderfield,train,2019,82,58
ISMN_SCAN_Manderfield,train,2020,98,61
ISMN_SCAN_Manderfield,train,2021,89,58
ISMN_SCAN_Manderfield,train,2022,94,30
ISMN_SCAN_Manderfield,train,2023,88,28
ISMN_SCAN_Manderfield,train,2024,80,28
ISMN_SCAN_Manderfield,train,2025,93,50
ISMN_SCAN_MarbleCreek,val,2020,84,86
ISMN_SCAN_MarbleCreek,val,2021,101,114
ISMN_SCAN_MarbleCreek,val,2022,108,59
ISMN_SCAN_MarbleCreek,val,2023,101,57
ISMN_SCAN_MarbleCreek,val,2024,86,36
ISMN_SCAN_MaricaoForest,train,2016,3,10
ISMN_SCAN_MaricaoForest,train,2017,8,59
ISMN_SCAN_MaricaoForest,train,2018,5,12
ISMN_SCAN_Mason#1,oos,2017,24,25
ISMN_SCAN_Mason#1,oos,2018,59,27
ISMN_SCAN_Mason#1,oos,2019,57,30
ISMN_SCAN_Mason#1,oos,2020,56,30
ISMN_SCAN_Mason#1,oos,2021,56,28
ISMN_SCAN_Mason#1,oos,2022,59,28
ISMN_SCAN_Mason#1,oos,2023,54,29
ISMN_SCAN_Mason#1,oos,2024,54,28
ISMN_SCAN_Mason#1,oos,2025,11,6
ISMN_SCAN_Mayday,train,2020,5,4
ISMN_SCAN_Mayday,train,2021,20,28
ISMN_SCAN_Mayday,train,2022,31,22
ISMN_SCAN_Mayday,train,2023,25,22
ISMN_SCAN_Mayday,train,2024,5,11
ISMN_SCAN_McAllisterFarm,oos,2016,5,9
ISMN_SCAN_McAllisterFarm,oos,2017,10,21
ISMN_SCAN_McAllisterFarm,oos,2018,21,21
ISMN_SCAN_McAllisterFarm,oos,2019,26,30
ISMN_SCAN_McAllisterFarm,oos,2020,22,28
ISMN_SCAN_McAllisterFarm,oos,2021,22,31
ISMN_SCAN_McAllisterFarm,oos,2022,40,30
ISMN_SCAN_McAllisterFarm,oos,2023,32,27
ISMN_SCAN_McAllisterFarm,oos,2024,36,20
ISMN_SCAN_McAllisterFarm,oos,2025,38,30
ISMN_SCAN_MccrackenMesa,train,2016,12,10
ISMN_SCAN_MccrackenMesa,train,2017,19,83
ISMN_SCAN_MccrackenMesa,train,2018,45,73
ISMN_SCAN_MccrackenMesa,train,2019,37,77
ISMN_SCAN_MccrackenMesa,train,2020,50,87
ISMN_SCAN_MccrackenMesa,train,2021,45,84
ISMN_SCAN_MccrackenMesa,train,2022,42,36
ISMN_SCAN_MccrackenMesa,train,2023,43,57
ISMN_SCAN_MccrackenMesa,train,2024,47,56
ISMN_SCAN_MccrackenMesa,train,2025,14,14
ISMN_SCAN_Milford,oos,2016,27,10
ISMN_SCAN_Milford,oos,2017,44,55
ISMN_SCAN_Milford,oos,2018,91,50
ISMN_SCAN_Milford,oos,2019,87,68
ISMN_SCAN_Milford,oos,2020,101,88
ISMN_SCAN_Milford,oos,2021,91,88
ISMN_SCAN_Milford,oos,2022,98,30
ISMN_SCAN_Milford,oos,2023,93,28
ISMN_SCAN_Milford,oos,2024,85,28
ISMN_SCAN_Milford,oos,2025,59,44
ISMN_SCAN_Moccasin,train,2016,15,4
ISMN_SCAN_Moccasin,train,2017,28,74
ISMN_SCAN_Moccasin,train,2018,58,69
ISMN_SCAN_Moccasin,train,2019,60,78
ISMN_SCAN_Moccasin,train,2020,66,89
ISMN_SCAN_Moccasin,train,2021,52,87
ISMN_SCAN_Moccasin,train,2022,63,59
ISMN_SCAN_Moccasin,train,2023,68,57
ISMN_SCAN_Moccasin,train,2024,51,56
ISMN_SCAN_Moccasin,train,2025,12,12
ISMN_SCAN_MonoclineRidge,train,2016,29,42
ISMN_SCAN_MonoclineRidge,train,2017,51,85
ISMN_SCAN_MonoclineRidge,train,2018,107,95
ISMN_SCAN_MonoclineRidge,train,2019,99,139
ISMN_SCAN_MonoclineRidge,train,2020,98,180
ISMN_SCAN_MonoclineRidge,train,2021,94,149
ISMN_SCAN_Morgan,train,2016,20,9
ISMN_SCAN_Morgan,train,2017,30,79
ISMN_SCAN_Morgan,train,2018,73,60
ISMN_SCAN_Morgan,train,2019,80,75
ISMN_SCAN_Morgan,train,2020,74,90
ISMN_SCAN_Morgan,train,2021,74,84
ISMN_SCAN_Morgan,train,2022,82,30
ISMN_SCAN_Morgan,train,2023,70,28
ISMN_SCAN_Morgan,train,2024,74,27
ISMN_SCAN_Morgan,train,2025,83,72
ISMN_SCAN_MorrisFarms,oos,2016,4,8
ISMN_SCAN_MorrisFarms,oos,2017,14,23
ISMN_SCAN_MorrisFarms,oos,2018,30,23
ISMN_SCAN_MorrisFarms,oos,2019,32,30
ISMN_SCAN_MorrisFarms,oos,2020,10,7
ISMN_SCAN_MountainHome,train,2016,11,4
ISMN_SCAN_MountainHome,train,2017,15,53
ISMN_SCAN_MountainHome,train,2018,40,30
ISMN_SCAN_MountainHome,train,2019,45,37
ISMN_SCAN_MountainHome,train,2020,50,59
ISMN_SCAN_MountainHome,train,2021,45,56
ISMN_SCAN_MountainHome,train,2022,44,29
ISMN_SCAN_MountainHome,train,2023,45,29
ISMN_SCAN_MountainHome,train,2024,40,24
ISMN_SCAN_MtVernon,oos,2016,1,8
ISMN_SCAN_MtVernon,oos,2017,15,29
ISMN_SCAN_MtVernon,oos,2018,25,29
ISMN_SCAN_MtVernon,oos,2019,24,30
ISMN_SCAN_MtVernon,oos,2020,21,29
ISMN_SCAN_NPiedmontArec,oos,2016,6,21
ISMN_SCAN_NPiedmontArec,oos,2017,10,57
ISMN_SCAN_NPiedmontArec,oos,2018,24,58
ISMN_SCAN_NPiedmontArec,oos,2019,26,60
ISMN_SCAN_NPiedmontArec,oos,2020,30,55
ISMN_SCAN_NPiedmontArec,oos,2021,29,54
ISMN_SCAN_NPiedmontArec,oos,2022,26,55
ISMN_SCAN_NPiedmontArec,oos,2023,31,55
ISMN_SCAN_NPiedmontArec,oos,2024,35,51
ISMN_SCAN_NPiedmontArec,oos,2025,39,57
ISMN_SCAN_Nacogdoches,oos,2018,44,20
ISMN_SCAN_Nacogdoches,oos,2019,49,20
ISMN_SCAN_Nacogdoches,oos,2020,55,30
ISMN_SCAN_Nacogdoches,oos,2021,50,28
ISMN_SCAN_Nacogdoches,oos,2022,39,16
ISMN_SCAN_Nephi,val,2016,11,10
ISMN_SCAN_Nephi,val,2017,13,103
ISMN_SCAN_Nephi,val,2018,36,66
ISMN_SCAN_Nephi,val,2019,38,76
ISMN_SCAN_Nephi,val,2020,32,90
ISMN_SCAN_Nephi,val,2021,39,84
ISMN_SCAN_Nephi,val,2022,43,30
ISMN_SCAN_Nephi,val,2023,43,28
ISMN_SCAN_Nephi,val,2024,39,27
ISMN_SCAN_Nephi,val,2025,6,5
ISMN_SCAN_NorthIssaquena,train,2016,7,21
ISMN_SCAN_NorthIssaquena,train,2017,10,30
ISMN_SCAN_NorthIssaquena,train,2018,27,29
ISMN_SCAN_NorthIssaquena,train,2019,29,27
ISMN_SCAN_NorthIssaquena,train,2020,38,27
ISMN_SCAN_NorthIssaquena,train,2021,8,10
ISMN_SCAN_Nunn#1,train,2022,79,68
ISMN_SCAN_Nunn#1,train,2023,87,85
ISMN_SCAN_Nunn#1,train,2024,78,85
ISMN_SCAN_Nunn#1,train,2025,82,98
ISMN_SCAN_Onward,train,2016,7,21
ISMN_SCAN_Onward,train,2017,10,29
ISMN_SCAN_Onward,train,2018,30,29
ISMN_SCAN_Onward,train,2019,32,27
ISMN_SCAN_Onward,train,2020,37,27
ISMN_SCAN_Onward,train,2021,27,28
ISMN_SCAN_Onward,train,2022,38,22
ISMN_SCAN_Onward,train,2023,30,22
ISMN_SCAN_Onward,train,2024,27,23
ISMN_SCAN_Onward,train,2025,34,28
ISMN_SCAN_OrchardRangeSite,train,2021,58,94
ISMN_SCAN_OrchardRangeSite,train,2022,74,58
ISMN_SCAN_OrchardRangeSite,train,2023,76,58
ISMN_SCAN_OrchardRangeSite,train,2024,82,54
ISMN_SCAN_OrchardRangeSite,train,2025,86,98
ISMN_SCAN_Panguitch,train,2016,10,5
ISMN_SCAN_Panguitch,train,2017,16,50
ISMN_SCAN_Panguitch,train,2018,43,47
ISMN_SCAN_Panguitch,train,2019,41,58
ISMN_SCAN_Panguitch,train,2020,48,61
ISMN_SCAN_Panguitch,train,2021,41,58
ISMN_SCAN_Panguitch,train,2022,22,13
ISMN_SCAN_ParkValley,train,2016,9,5
ISMN_SCAN_ParkValley,train,2017,18,57
ISMN_SCAN_ParkValley,train,2018,33,47
ISMN_SCAN_ParkValley,train,2019,34,57
ISMN_SCAN_ParkValley,train,2020,36,61
ISMN_SCAN_ParkValley,train,2021,40,68
ISMN_SCAN_ParkValley,train,2022,19,25
ISMN_SCAN_PeeDee,val,2019,26,57
ISMN_SCAN_PeeDee,val,2020,30,58
ISMN_SCAN_PeeDee,val,2021,33,58
ISMN_SCAN_PeeDee,val,2022,34,56
ISMN_SCAN_PeeDee,val,2023,44,56
ISMN_SCAN_PeeDee,val,2024,29,50
ISMN_SCAN_PeeDee,val,2025,41,60
ISMN_SCAN_PerdidoRivFarms,train,2016,13,9
ISMN_SCAN_PerdidoRivFarms,train,2017,23,27
ISMN_SCAN_PerdidoRivFarms,train,2018,53,30
ISMN_SCAN_PerdidoRivFarms,train,2019,53,30
ISMN_SCAN_PerdidoRivFarms,train,2020,28,14
ISMN_SCAN_Perthshire,train,2016,7,14
ISMN_SCAN_Perthshire,train,2017,11,31
ISMN_SCAN_Perthshire,train,2018,30,29
ISMN_SCAN_Perthshire,train,2019,33,27
ISMN_SCAN_Perthshire,train,2020,35,26
ISMN_SCAN_Perthshire,train,2021,24,20
ISMN_SCAN_Phillipsburg,train,2016,0,45
ISMN_SCAN_Phillipsburg,train,2017,0,42
ISMN_SCAN_Phillipsburg,train,2018,0,47
ISMN_SCAN_Phillipsburg,train,2019,0,56
ISMN_SCAN_Phillipsburg,train,2020,0,60
ISMN_SCAN_Phillipsburg,train,2021,0,59
ISMN_SCAN_Phillipsburg,train,2022,29,81
ISMN_SCAN_Phillipsburg,train,2023,83,83
ISMN_SCAN_Phillipsburg,train,2024,85,70
ISMN_SCAN_Phillipsburg,train,2025,84,86
ISMN_SCAN_PineNut,val,2021,22,58
ISMN_SCAN_PineNut,val,2022,48,29
ISMN_SCAN_PineNut,val,2023,42,28
ISMN_SCAN_PineNut,val,2024,39,26
ISMN_SCAN_PineNut,val,2025,31,47
ISMN_SCAN_PowderMill,val,2016,0,20
ISMN_SCAN_PowderMill,val,2017,0,57
ISMN_SCAN_PowderMill,val,2018,0,33
ISMN_SCAN_PowderMill,val,2019,0,29
ISMN_SCAN_PowderMill,val,2020,2,29
ISMN_SCAN_PowderMill,val,2021,30,26
ISMN_SCAN_PowderMill,val,2022,30,26
ISMN_SCAN_PowderMill,val,2023,27,26
ISMN_SCAN_PowderMill,val,2024,28,26
ISMN_SCAN_PowderMill,val,2025,27,31
ISMN_SCAN_PowellGardens,train,2016,8,16
ISMN_SCAN_PowellGardens,train,2017,16,29
ISMN_SCAN_PowellGardens,train,2018,33,29
ISMN_SCAN_PowellGardens,train,2019,28,30
ISMN_SCAN_PowellGardens,train,2020,28,30
ISMN_SCAN_PowellGardens,train,2021,13,16
ISMN_SCAN_PrairieView#1,train,2016,0,45
ISMN_SCAN_PrairieView#1,train,2017,0,85
ISMN_SCAN_PrairieView#1,train,2018,2,87
ISMN_SCAN_PrairieView#1,train,2019,28,89
ISMN_SCAN_PrairieView#1,train,2020,33,90
ISMN_SCAN_PrairieView#1,train,2021,24,89
ISMN_SCAN_PrairieView#1,train,2022,12,18
ISMN_SCAN_Price,train,2016,0,6
ISMN_SCAN_Price,train,2017,0,53
ISMN_SCAN_Price,train,2018,0,30
ISMN_SCAN_Price,train,2019,0,37
ISMN_SCAN_Price,train,2020,0,59
ISMN_SCAN_Price,train,2021,0,56
ISMN_SCAN_Price,train,2022,0,29
ISMN_SCAN_Price,train,2023,45,29
ISMN_SCAN_Price,train,2024,42,27
ISMN_SCAN_Price,train,2025,58,28
ISMN_SCAN_Princeton#1,train,2016,10,22
ISMN_SCAN_Princeton#1,train,2017,22,20
ISMN_SCAN_Princeton#1,train,2018,10,3
ISMN_SCAN_ReeseCenter,train,2016,0,12
ISMN_SCAN_ReeseCenter,train,2017,0,36
ISMN_SCAN_ReeseCenter,train,2018,0,52
ISMN_SCAN_ReeseCenter,train,2019,0,56
ISMN_SCAN_ReeseCenter,train,2020,53,58
ISMN_SCAN_ReeseCenter,train,2021,27,26
ISMN_SCAN_ReynoldsHomestead,train,2021,0,6
ISMN_SCAN_ReynoldsHomestead,train,2022,0,55
ISMN_SCAN_ReynoldsHomestead,train,2023,10,57
ISMN_SCAN_ReynoldsHomestead,train,2024,32,49
ISMN_SCAN_ReynoldsHomestead,train,2025,36,58
ISMN_SCAN_RiverRoadFarms,train,2016,0,31
ISMN_SCAN_RiverRoadFarms,train,2017,0,48
ISMN_SCAN_RiverRoadFarms,train,2018,17,54
ISMN_SCAN_RiverRoadFarms,train,2019,38,38
ISMN_SCAN_RockSpringsPa,train,2017,8,28
ISMN_SCAN_RockSpringsPa,train,2018,13,26
ISMN_SCAN_RockSpringsPa,train,2019,21,27
ISMN_SCAN_RockSpringsPa,train,2020,19,28
ISMN_SCAN_RockSpringsPa,train,2021,20,25
ISMN_SCAN_RockSpringsPa,train,2022,20,24
ISMN_SCAN_RockSpringsPa,train,2023,16,27
ISMN_SCAN_RockSpringsPa,train,2024,18,22
ISMN_SCAN_RockSpringsPa,train,2025,23,28
ISMN_SCAN_RogersFarm#1,val,2016,9,21
ISMN_SCAN_RogersFarm#1,val,2017,27,22
ISMN_SCAN_RogersFarm#1,val,2018,58,27
ISMN_SCAN_RogersFarm#1,val,2019,65,20
ISMN_SCAN_RogersFarm#1,val,2020,70,27
ISMN_SCAN_RogersFarm#1,val,2021,3,1
ISMN_SCAN_SanAngelo,train,2016,5,10
ISMN_SCAN_SanAngelo,train,2017,16,18
ISMN_SCAN_SanAngelo,train,2018,44,22
ISMN_SCAN_SanAngelo,train,2019,44,30
ISMN_SCAN_SanAngelo,train,2020,30,30
ISMN_SCAN_SanAngelo,train,2021,42,31
ISMN_SCAN_SanAngelo,train,2022,10,10
ISMN_SCAN_SandHollow,train,2016,35,10
ISMN_SCAN_SandHollow,train,2017,51,55
ISMN_SCAN_SandHollow,train,2018,109,51
ISMN_SCAN_SandHollow,train,2019,96,68
ISMN_SCAN_SandHollow,train,2020,114,88
ISMN_SCAN_SandHollow,train,2021,63,54
ISMN_SCAN_SandyRidge,train,2016,8,20
ISMN_SCAN_SandyRidge,train,2017,11,31
ISMN_SCAN_SandyRidge,train,2018,30,29
ISMN_SCAN_SandyRidge,train,2019,30,27
ISMN_SCAN_SandyRidge,train,2020,38,27
ISMN_SCAN_SandyRidge,train,2021,25,28
ISMN_SCAN_SandyRidge,train,2022,35,22
ISMN_SCAN_SandyRidge,train,2023,28,22
ISMN_SCAN_SandyRidge,train,2024,27,23
ISMN_SCAN_SandyRidge,train,2025,35,28
ISMN_SCAN_Scott,train,2021,10,10
ISMN_SCAN_Scott,train,2022,38,22
ISMN_SCAN_Scott,train,2023,26,22
ISMN_SCAN_Scott,train,2024,29,23
ISMN_SCAN_Scott,train,2025,38,28
ISMN_SCAN_SellersLake#1,train,2016,8,13
ISMN_SCAN_SellersLake#1,train,2017,11,24
ISMN_SCAN_SellersLake#1,train,2018,23,26
ISMN_SCAN_SellersLake#1,train,2019,23,32
ISMN_SCAN_SellersLake#1,train,2020,24,28
ISMN_SCAN_SellersLake#1,train,2021,25,29
ISMN_SCAN_SellersLake#1,train,2022,6,4
ISMN_SCAN_Selma,train,2016,10,7
ISMN_SCAN_Selma,train,2017,26,22
ISMN_SCAN_Selma,train,2018,54,23
ISMN_SCAN_Selma,train,2019,63,30
ISMN_SCAN_Selma,train,2020,59,28
ISMN_SCAN_Selma,train,2021,55,31
ISMN_SCAN_Selma,train,2022,72,30
ISMN_SCAN_Selma,train,2023,54,22
ISMN_SCAN_Sevilleta,train,2018,63,63
ISMN_SCAN_Sevilleta,train,2019,96,90
ISMN_SCAN_Sevilleta,train,2020,102,88
ISMN_SCAN_Sevilleta,train,2021,55,55
ISMN_SCAN_ShagbarkHills,train,2016,7,38
ISMN_SCAN_ShagbarkHills,train,2017,14,43
ISMN_SCAN_ShagbarkHills,train,2018,28,56
ISMN_SCAN_ShagbarkHills,train,2019,27,49
ISMN_SCAN_ShagbarkHills,train,2020,7,12
ISMN_SCAN_Shenandoah,train,2016,6,10
ISMN_SCAN_Shenandoah,train,2017,9,29
ISMN_SCAN_Shenandoah,train,2018,6,9
ISMN_SCAN_Sidney,train,2020,31,12
ISMN_SCAN_Sidney,train,2021,62,30
ISMN_SCAN_Sidney,train,2022,64,29
ISMN_SCAN_Sidney,train,2023,74,27
ISMN_SCAN_Sidney,train,2024,61,31
ISMN_SCAN_Sidney,train,2025,56,43
ISMN_SCAN_SilverCity,oos,2016,8,23
ISMN_SCAN_SilverCity,oos,2017,12,31
ISMN_SCAN_SilverCity,oos,2018,31,29
ISMN_SCAN_SilverCity,oos,2019,31,27
ISMN_SCAN_SilverCity,oos,2020,36,31
ISMN_SCAN_SilverCity,oos,2021,17,16
ISMN_SCAN_SilverSword,train,2017,6,22
ISMN_SCAN_SilverSword,train,2018,27,99
ISMN_SCAN_SilverSword,train,2019,40,116
ISMN_SCAN_SilverSword,train,2020,39,115
ISMN_SCAN_SilverSword,train,2021,40,110
ISMN_SCAN_SilverSword,train,2022,2,4
ISMN_SCAN_SinkinForest,train,2021,12,13
ISMN_SCAN_SinkinForest,train,2022,30,22
ISMN_SCAN_SinkinForest,train,2023,26,22
ISMN_SCAN_SinkinForest,train,2024,27,22
ISMN_SCAN_SinkinForest,train,2025,6,7
ISMN_SCAN_Spickard,train,2019,14,18
ISMN_SCAN_Spickard,train,2020,28,30
ISMN_SCAN_Spickard,train,2021,33,30
ISMN_SCAN_Spickard,train,2022,40,20
ISMN_SCAN_Spickard,train,2023,39,24
ISMN_SCAN_Spickard,train,2024,40,22
ISMN_SCAN_Spickard,train,2025,34,23
ISMN_SCAN_SplitMountain,train,2016,24,10
ISMN_SCAN_SplitMountain,train,2017,36,103
ISMN_SCAN_SplitMountain,train,2018,91,88
ISMN_SCAN_SplitMountain,train,2019,82,96
ISMN_SCAN_SplitMountain,train,2020,93,117
ISMN_SCAN_SplitMountain,train,2021,89,114
ISMN_SCAN_SplitMountain,train,2022,92,66
ISMN_SCAN_SplitMountain,train,2023,86,86
ISMN_SCAN_SplitMountain,train,2024,93,82
ISMN_SCAN_SplitMountain,train,2025,21,21
ISMN_SCAN_Spooky,train,2016,8,11
ISMN_SCAN_Spooky,train,2017,13,76
ISMN_SCAN_Spooky,train,2018,34,50
ISMN_SCAN_Spooky,train,2019,36,65
ISMN_SCAN_Spooky,train,2020,20,90
ISMN_SCAN_Spooky,train,2021,28,85
ISMN_SCAN_Spooky,train,2022,41,29
ISMN_SCAN_Spooky,train,2023,42,29
ISMN_SCAN_Spooky,train,2024,34,26
ISMN_SCAN_Spooky,train,2025,42,46
ISMN_SCAN_StanleyFarm,train,2022,52,24
